on: x=-6 to 41 , y=-12 to 39 , z=-10 to 42
off: x=-9843 to 17058 , y=46798 to 66680 , z=43972 to 81134
on: x=59065 to 70902 , y=25178 to 48728 , z=-42628 to -22735
off: x=12074 to 35300 , y=-56497 to -28349 , z=-76487 to -55666
on: x=64962 to 89471 , y=19547 to 29810 , z=13457 to 31316
off: x=-23945 to -3959 , y=60955 to 84552 , z=-14433 to -5176
on: x=-2499 to 23401 , y=-9120 to 8372 , z=76233 to 84081
off: x=-91662 to -61207 , y=-3301 to 15344 , z=27899 to 48015
on: x=31081 to 44643 , y=-28448 to -8595 , z=61457 to 85782
off: x=-7126 to 5620 , y=4729 to 33668 , z=71078 to 80278
on: x=-55513 to -28549 , y=19456 to 40375 , z=54812 to 59238
off: x=-72784 to -69055 , y=15210 to 29345 , z=23446 to 42106
on: x=-31167 to -20878 , y=-72954 to -57958 , z=18134 to 32662
off: x=-39385 to -25743 , y=-86061 to -63416 , z=15356 to 33521
on: x=-1125 to 19521 , y=41370 to 69606 , z=-73796 to -45622
off: x=45588 to 66056 , y=12521 to 25197 , z=48790 to 62861
on: x=47627 to 68254 , y=31882 to 53328 , z=25662 to 42038
on: x=-34092 to -17401 , y=-5453 to 15487 , z=-87812 to -59554
on: x=62848 to 70259 , y=-51016 to -19941 , z=23951 to 44004
on: x=-43524 to -29947 , y=10914 to 35479 , z=67143 to 70490
on: x=3631 to 13773 , y=-95804 to -70033 , z=-18547 to -6193
on: x=-11759 to 9957 , y=6506 to 27819 , z=70712 to 94866
off: x=-86705 to -61424 , y=-26069 to 594 , z=21267 to 36321
off: x=-73433 to -52379 , y=-46684 to -33106 , z=-51920 to -32215
off: x=-55321 to -48322 , y=13236 to 27338 , z=-64006 to -44521
